applicant_ID,applicant_score,density
0,2.0,7945
1,1.892709159626884,6692
2,1.7916666282065918,5776
3,1.6964801101367704,5055
4,1.6067837064344037,4440
5,1.522236020841224,3980
6,1.442518410177724,3326
7,1.367333367327824,2979
8,1.2964030262225226,2576
9,1.2294677790887618,2287
10,1.166284997048393,1961
11,1.1066278458980352,1799
12,1.0502841895813335,1681
13,0.997055574485901,1493
14,0.9467562882642461,1295
15,0.8992124873955358,1249
16,0.8542613881781692,1155
17,0.8117505162753781,986
18,0.7715370103315307,982
19,0.7334869755383984,911
20,0.6974748833617719,869
21,0.663383013941776,742
22,0.6311009379579405,786
23,0.6005250350043729,678
24,0.5715580457536372,678
25,0.5441086554017187,585
26,0.5180911060827094,555
27,0.49342483612183247,525
28,0.4700341441608015,461
29,0.447847876341289,459
30,0.4267991348718413,455
31,0.4068250064317694,435
32,0.3878663089834963,437
33,0.3698673556732718,388
34,0.3527757346000111,411
35,0.33654210332384976,394
36,0.32111999707065425,380
37,0.30646564966661816,394
38,0.2925378263089466,381
39,0.2792976673447797,318
40,0.2667085422916128,323
41,0.25473591338874174,307
42,0.24334720802127238,315
43,0.2325116994061721,288
44,0.22220039497416882,330
45,0.2123859319222005,306
46,0.20304247944894616,273
47,0.1941456472209056,264
48,0.18567239964881868,246
49,0.17760097558409924,273
50,0.16991081307261632,239
51,0.16258247882874227,276
52,0.15559760211629278,280
53,0.14893881274491383,244
54,0.14258968291081356,257
55,0.13653467262955768,237
56,0.1307590785261247,201
57,0.12524898576359145,226
58,0.11999122290684887,225
59,0.11497331953166996,213
60,0.11018346640238802,238
61,0.10561047805343976,224
62,0.10124375762118028,236
63,0.09707326378272074,233
64,0.09308947966816794,202
65,0.08928338362157433,232
66,0.08564642169422879,232
67,0.08217048176163352,208
68,0.07884786916271422,228
69,0.07567128376648741,223
70,0.07263379837764157,210
71,0.06972883839827733,179
72,0.06695016266845241,196
73,0.0642918454131986,217
74,0.06174825922836404,192
75,0.059314059041994376,221
76,0.056984166992036886,214
77,0.05475375816494015,187
78,0.052618247143264525,198
79,0.05057327531371189,215
80,0.04861469889006777,196
81,0.04673857760841831,205
82,0.044941164054690654,204
83,0.04321889358706793,206
84,0.04156837481817169,170
85,0.039986380624090774,193
86,0.03846983964937774,162
87,0.03701582827904411,184
88,0.03562156305037097,160
89,0.034284393479021666,172
90,0.03300179527550448,184
91,0.03177136392949404,175
92,0.03059080864088876,183
93,0.02945794657776065,220
94,0.028370697442552793,206
95,0.027327078329001303,188
96,0.026325198853310392,194
97,0.025363256544094017,204
98,0.024439532476520056,211
99,0.02355238713695806,182
100,0.022700256505242832,210
101,0.021881648342426695,174
102,0.021095138672605873,207
103,0.020339368448076288,165
104,0.019613040387701227,183
105,0.018914915978963446,212
106,0.018243812634726655,161
107,0.017598600996250737,174
108,0.01697820237449334,192
109,0.016381586322188228,189
110,0.015807768329621077,196
111,0.015255807637428022,187
112,0.01472480516012253,186
113,0.01421390151441337,177
114,0.013722275146712396,180
115,0.013249140554547017,172
116,0.012793746596889474,161
117,0.012355374888694513,173
118,0.01193333827520056,203
119,0.011526979381796624,160
120,0.01113566923549084,162
121,0.010758805954235916,190
122,0.01039581350057329,214
123,0.010046140496252949,178
124,0.009709259094668526,171
125,0.009384663908121352,193
126,0.00907187098708899,164
127,0.008770416848827423,188
128,0.008479857552781817,195
129,0.008199767820415928,176
130,0.007929740197199933,176
131,0.0076693842546176815,167
132,0.0074183258301684695,201
133,0.0071762063034474174,166
134,0.006942681906489845,181
135,0.006717423066661513,207
136,0.006500113780467986,189
137,0.006290451016741583,180
138,0.006088144147745998,175
139,0.005892914406815054,158
140,0.00570449437121438,190
141,0.0055226274689835035,173
142,0.005347067508580153,165
143,0.005177578230209714,156
144,0.005013932877780876,172
145,0.004855913790482706,159
146,0.004703312013030219,146
147,0.004555926923674576,166
148,0.004413565879119766,173
149,0.00427604387553196,167
150,0.004143183224868696,186
151,0.004014813245794293,170
152,0.0038907699684851884,174
153,0.0037708958526637684,162
154,0.0036550395182325984,182
155,0.0035430554879124923,184
156,0.0034348039413175605,180
157,0.0033301504799288064,159
158,0.0032289659024545086,184
159,0.0031311259900909014,166
160,0.003036511301220997,180
161,0.0029450069751118793,168
162,0.002856502544192642,167
163,0.002770891754515514,164
164,0.0026880723940221397,188
165,0.0026079461282556018,146
166,0.002530418343175942,170
167,0.002455397994753885,168
168,0.0023827974650329543,159
169,0.002312532424365203,172
170,0.002244521699540012,178
171,0.0021786871475388365,183
172,0.002114953534661473,176
173,0.0020532484207818093,170
174,0.001993502048502225,167
175,0.001935647236987084,188
176,0.0018796192802659067,164
177,0.0018253558498068651,169
178,0.0017727969011705612,173
179,0.0017218845845630116,164
180,0.001672563159115196,181
181,0.0016247789107247162,190
182,0.0015784800733025905,190
183,0.0015336167532757372,166
184,0.0014901408572024191,181
185,0.0014480060223646782,160
186,0.0014071675502079866,165
187,0.0013675823425043445,182
188,0.0013292088401206893,173
189,0.0012920069642800133,191
190,0.0012559380602075376,192
191,0.0012209648430594067,182
192,0.0011870513460358549,168
193,0.0011541628705853465,187
194,0.0011222659386103753,165
195,0.0010913282465896581,176
196,0.00106131862153525,172
197,0.0010322069787068605,177
198,0.0010039642810089943,190
199,0.0009765625,185
