applicant_ID,applicant_score,density
0,2.0,2053
1,1.9978010996700644,2045
2,1.9956048364379848,1973
3,1.9934112068779248,1942
4,1.99122020756885,1877
5,1.9890318350945109,1943
6,1.9868460860434374,1859
7,1.9846629570089198,1867
8,1.9824824445890221,1771
9,1.9803045453865669,1755
10,1.9781292560091135,1605
11,1.9759565730689737,1626
12,1.9737864931831948,1641
13,1.9716190129735511,1601
14,1.9694541290665304,1568
15,1.9672918380933428,1518
16,1.9651321366899073,1483
17,1.96297502149683,1553
18,1.9608204891594228,1489
19,1.9586685363276788,1458
20,1.9565191596562737,1371
21,1.9543723558045427,1383
22,1.9522281214364985,1353
23,1.9500864532208104,1322
24,1.9479473478307894,1257
25,1.9458108019443972,1219
26,1.9436768122442363,1222
27,1.9415453754175345,1223
28,1.9394164881561358,1127
29,1.9372901471565138,1154
30,1.9351663491197415,1107
31,1.9330450907515035,1159
32,1.9309263687620652,1050
33,1.9288101798662949,1098
34,1.9266965207836397,1036
35,1.924585388238112,1045
36,1.9224767789583046,966
37,1.9203706896773654,990
38,1.9182671171330017,970
39,1.9161660580674564,990
40,1.9140675092275274,929
41,1.9119714673645432,862
42,1.9098779292343482,914
43,1.907786891597324,896
44,1.9056983512183552,787
45,1.9036123048668403,804
46,1.9015287493166686,848
47,1.899447681346233,809
48,1.8973690977384128,787
49,1.8952929952805548,758
50,1.8932193707644922,692
51,1.8911482209865242,732
52,1.8890795427474096,674
53,1.8870133328523508,717
54,1.8849495881110077,713
55,1.8828883053374836,637
56,1.8808294813503013,682
57,1.8787731129724223,640
58,1.8767191970312247,619
59,1.8746677303585042,577
60,1.8726187097904547,628
61,1.8705721321676794,599
62,1.8685279943351774,545
63,1.866486293142321,564
64,1.86444702544288,583
65,1.8624101880949913,548
66,1.8603757779611632,594
67,1.8583437919082566,534
68,1.8563142268074981,512
69,1.8542870795344608,480
70,1.8522623469690525,471
71,1.8502400259955227,500
72,1.8482201135024514,478
73,1.8462026063827401,450
74,1.8441875015336018,451
75,1.8421747958565646,408
76,1.8401644862574618,439
77,1.8381565696464144,410
78,1.8361510429378431,439
79,1.8341479030504486,405
80,1.8321471469072161,378
81,1.8301487714353897,373
82,1.8281527735664875,422
83,1.826159150236291,353
84,1.8241678983848184,373
85,1.8221790149563488,326
86,1.820192496899396,342
87,1.818208341166711,346
88,1.8162265447152586,363
89,1.814247104506242,357
90,1.8122700175050726,308
91,1.810295280681364,313
92,1.8083228910089388,305
93,1.8063528454658142,277
94,1.8043851410342011,293
95,1.8024197747004815,334
96,1.8004567434552294,266
97,1.7984960442931794,244
98,1.7965376742132406,245
99,1.7945816302184665,249
100,1.7926279093160769,260
101,1.7906765085174345,240
102,1.788727424838035,244
103,1.7867806552975167,247
104,1.7848361969196416,217
105,1.7828940467323,205
106,1.7809542017674858,218
107,1.7790166590613097,203
108,1.7770814156539916,229
109,1.7751484685898353,199
110,1.773217814917247,182
111,1.7712894516887123,199
112,1.769363375960803,186
113,1.7674395847941526,183
114,1.7655180752534718,180
115,1.7635988444075321,194
116,1.7616818893291477,170
117,1.7597672070951977,170
118,1.7578547947865966,168
119,1.7559446494882986,171
120,1.7540367682892817,158
121,1.752131148282558,148
122,1.750227786565159,167
123,1.7483266802381179,132
124,1.7464278264064885,157
125,1.7445312221793172,136
126,1.7426368646696537,154
127,1.740744750994527,140
128,1.7388548782749573,123
129,1.7369672436359425,120
130,1.7350818442064457,119
131,1.7331986771194021,132
132,1.7313177395117048,144
133,1.7294390285242054,118
134,1.7275625413016933,124
135,1.7256882749929108,98
136,1.7238162267505348,107
137,1.7219463937311648,101
138,1.7200787730953353,106
139,1.7182133620074966,98
140,1.7163501576360145,96
141,1.714489157153155,92
142,1.7126303577350943,92
143,1.710773756561903,113
144,1.7089193508175367,87
145,1.7070671376898392,78
146,1.7052171143705368,85
147,1.7033692780552265,77
148,1.7015236259433655,81
149,1.6996801552382816,81
150,1.6978388631471575,69
151,1.6959997468810248,67
152,1.694162803654755,84
153,1.692328030687066,84
154,1.690495425200509,76
155,1.6886649844214499,64
156,1.6868367055800937,48
157,1.6850105859104525,61
158,1.6831866226503527,68
159,1.6813648130414172,68
160,1.6795451543290802,61
161,1.6777276437625663,70
162,1.6759122785948783,54
163,1.6740990560828148,65
164,1.672287973486946,60
165,1.6704790280716164,57
166,1.6686722171049273,54
167,1.6668675378587507,52
168,1.6650649876087116,48
169,1.663264563634177,44
170,1.6614662632182648,49
171,1.6596700836478313,44
172,1.657876022213464,40
173,1.6560840762094717,60
174,1.6542942429338947,51
175,1.6525065196884863,46
176,1.6507209037787034,41
177,1.6489373925137167,33
178,1.6471559832063953,40
179,1.6453766731733033,40
180,1.643599459734687,31
181,1.6418243402144839,32
182,1.640051311940309,38
183,1.6382803722434425,32
184,1.6365115184588395,32
185,1.634744747925114,26
186,1.6329800579845422,33
187,1.6312174459830386,27
188,1.6294569092701732,24
189,1.6276984451991592,33
190,1.6259420511268323,30
